,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
0,767,33,,Absolutely wonderful - silky and sexy and comfortable,4,1,0,Initmates,Intimate,Intimates
4,847,47,Flattering shirt,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,1,6,General,Tops,Blouses
8,1077,24,Flattering,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,1,0,General,Dresses,Dresses
10,1077,53,Dress looks like it's made of cheap material,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,3,0,14,General,Dresses,Dresses
11,1095,39,,This dress is perfection! so pretty and flattering.,5,1,2,General Petite,Dresses,Dresses
14,1077,50,Pretty party dress with some issues,This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,1,1,General,Dresses,Dresses
17,853,41,Looks great with white pants,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,5,1,0,General,Tops,Blouses
26,949,33,Huge disappointment,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,2,0,0,General,Tops,Sweaters
28,684,53,Great shirt!!!,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,1,2,Initmates,Intimate,Lounge
30,1060,33,,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5,1,0,General Petite,Bottoms,Pants
32,1060,21,Love these pants,These pants are even better in person. the only downside is that they need to be dry cleaned.,5,1,0,General Petite,Bottoms,Pants
38,684,36,,Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.,5,1,2,Initmates,Intimate,Lounge
39,862,59,,Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,5,1,0,General,Tops,Knits
45,862,43,Love the two tone design,I bought this item from online... the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store & ordered a larger size. for the sale price this is a great top.,4,1,0,General,Tops,Knits
46,862,40,,I love this top. i wear it all the time.  the problem is that you can tell i wear it all the time as the fabric has started to fade.  i'd still recommend it as it is so comfortable.,5,1,0,General,Tops,Knits
55,862,61,Soft and cute as can be!,This is an adorable top that i find to be extremely comfortable. i don't usually buy prints but this one is so feminine and looks great with dark wash jeans. i am a 36d and the medium was a perfect fit.,5,1,2,General,Tops,Knits
62,862,28,Must have,I recently got this on sale after looking at it forever on my wish list. i'm so happy with it. its very comfortable and just long enough for my torso (5'3). the pattern on the front is very flattering.,5,1,0,General,Tops,Knits
64,862,43,Love this top,Loved this top and was really happy to find it on sale!,5,1,0,General,Tops,Knits
74,1081,59,,I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear,5,1,1,General Petite,Dresses,Dresses
78,836,47,Obsessed,I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.,5,1,1,General,Tops,Blouses
81,863,61,,Loved this top. great design. comfortable and unique. soft material,5,1,4,General Petite,Tops,Knits
92,861,23,,,5,1,0,General Petite,Tops,Knits
93,1081,31,,,5,1,0,General,Dresses,Dresses
98,1133,50,,,5,1,0,General,Jackets,Outerwear
102,822,69,Stunning lace top,This top is absolutely stunning. i purchased the white one. just received and it fits nicely-a little on the big side but i believe it looks better that way. this will look great with everything. it is well constructed and looks very unique. love it!,5,1,2,General,Tops,Blouses
103,822,23,Not a fan,The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40.,2,0,9,General,Tops,Blouses
106,836,47,Beautiful shirt but runs small!,Was so excited to order this beautiful shirt!  and the color sky is gorgeous!  but as another reviewer said--it runs small.  it was also way too short.  so sadly i will be returning this.  i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.,4,1,11,General,Tops,Blouses
107,836,66,Beautiful,I ordered ivory in xl because this brand tends to run tight if you're well endowed. it's a beautiful color and i love the contrasting plaid lining the inside of the collar and cuffs. haven't decided about keeping it because it looks oversized (but cozy) and it's really long. it almost touches the top of my knees in back. sooooo pretty though.,4,1,0,General,Tops,Blouses
110,861,44,Poor quality,This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.,1,0,11,General Petite,Tops,Knits
